email_body,subject_line
"Dear Harpreet  This final follow-up letter is being sent to you as a reminder that you are eligible for PricewaterhouseCoopers' 2000 tax preparation services.
Our records indicate that we have not received your completed tax data organizer.
As a result, we are unable to begin preparing your tax returns, and consequently there is a risk that you may incur interest and/or late payment penalties.
We urge you to complete the necessary details in the organizer and submit it to us as soon as possible.
Should you have any questions or need your user name/password resent, please email enron.houston.ias@us.pwcglobal.com    If you have any questions, please do not reply to this e-mail directly.
Please contact your PwC representative whose details are listed below:---
",Important Information from PricewaterhouseCoopers IAS-Harpreet   Arora
"Dear PIRA Client,  PIRA has created a new presentation on the world economy.
You can access this presentation via PIRA Online (www.pira.com) by logging in and, from the Client Home page, choosing ""World Economy"" from the ""Macro Data""* drop-down menu at the top of the screen.
We have also updated the existing slideshow accessible from the ""US Economy"" link.
The presentation consists of a table and charts that encapsulate GDP and IP performance, by country/region, for 2000-2002.
It is a useful comparative recap for the existing slideshows on the U.S., European, and Japanese economies.
Given the overall importance of economic trends and their impact on regional and global energy markets, PIRA maintains databases of key economic indicators to support our analyses of energy fundamentals and the associated market forecasts.
These presentations ?
which are updated as new data become available ?
are being made available complimentarily to all PIRA Online users.
If you need a user name and password for PIRA Online, or if you need help logging in, please contact Dyana Rothman at (212) 686-6808, email: support@pira.com.
(*If you are having trouble finding the ""Macro Data"" link, go to the FAQ page on PIRA Online and click on question number 4.)
Gary N. Ross Chief Executive Officer PIRA Energy Group
",PIRA Presentations on the US and World Economy
"Hi All:  Just got off the phone with the folks @ Dominion regarding some indicative pricing I gave them last week for (i) a 7000 Heat Rate Call in TVA; and, (ii) a 7000 Heat Rate Call in SERC.
FYI, I had quoted the TVA Call  @ $3.97/KW-mo ($1 over our mid) for a 4yr call beginning 1/1/03 with $2 VOM and 5x16 avail with 16hr mins.
I also quoted the SERC 7000 call at $1 over our mid, at $3.98/KW-mo for 1 yr and $4.12/KW-mo for 4 yrs, again with 5x16 and 16 hour mins.
The good news is --- this pricing generated some interest.
",Indicative Pricing for Dominion Resources
"Harry, Iris and Brandon:  Just finished up another call with my counterparty at Dominion.
Here are the opportunities:  1.
GridSouth - (They really want to dump in ""CP&L East"" - anything we can do to facilitate 	this will better meet customer requirements.
Capacity:	2003 - 100MW 				2004 - 250MW 				2005 - 570MW for five years  	Will accept day-ahead dispatch.
Really want 8 hour minimum runs w/ 5x16 availability.
Heat Rate:	7200 		VOM		$2/MWh  2.
Entergy -   		They want a straight 7x24, 365-day power purchase @ fixed price.
Capacity:	65MW 		Start Date:	July 2002 		Term:		5 Years 		Price:		$x/MWh  3.
TVA - Peaker  		Really want intra-day call w/4hr notice for 4hr minimum run time.
Capacity:	Tell me what, if any, we can do.
Start Date:	June 2004 		Availability:	5x16 June-Aug; Dec-Mar 		Heat Rate:	10,900 		VOM:		$2/MWh  		Let's really try to see if we can do the intra-day.
If absolutely not available for 4hr 		min run time, see if we can do 8hr min.
If this is absolutely not possible, let's try 		to quote day-ahead 8hr min at the very least.
4.
TVA - Combined Cycle  		This one we already quoted at $3.97/KW-mo for 4-year, 5x16 call, beginning 		1/1/03 for 7,000 Heat Rate; $2 VOM.
This was for day-ahead, 16hr min run time.
Tell me how much the price changes if we reduce min run time from 16hrs to 		8hrs.
Please call me in NY @ 212-715-5953 to discuss, if you have any questions.
Thanks for all your work.
I think we have a real opportunity here, if we can respond positively on a few fronts.
Regards, Greg
",Dominion Opportunities
"Harry, Iris and Brandon:  I asked ConEd if they were prepared to hear our OFFER to buy peaking capacity from the Lakewood expansion.
They are ""in the midst of preparing a draft term sheet for purchasing the output/tolling"" so we'll have to wait to see the parameters of sale.
I also asked if they would like to see PJM WEST synthetic toll offer from us.
Unfortunately, NO.
To the extent it matters, the on-line date is now set for late 2002, so they would like to see our offer for a Jan '03 start date.
Given that these guys are doing a real comparison against bricks and mortar, we would be looking at a $63 million option premium for 500MW @ 3.50/KW-mo over a three-year term; $84 million for a four-year term, I would hope we could be able to find a way to hedge the risk of too many $500 hours killing us.
Is there any cap we could buy to protect our downside risk here and still make this deal attractive?
The heat rate call is struck at 10,900!
",ConEd Lakewood Deal (PJM East)
"Harry and Brandon:   Just to memorialize what I just communicated to Harry over the phone.
My interface at TVA emailed yesterday requesting a phone dialogue to discuss where our Synthetic Peaker offer needs to be for TVA to execute.
Holding all assumptions constant, we would need to come in between $2.25-$2.30/KW-month in order for TVA to execute.
Our indicative quote was $3.90/KW-month.
I will attempt to find out if they have other offers in the sub-$2.50 range or if they are just setting their own bid at the requested price.
",TVA Synthetic Peaker
"8214 Colonial Oaks Lane                                                                                                                                             Spring, Texas 77379                                                                                                                                               December 20, 2001 Mr. Harry Arora Regarding: energy trading positions      I am writing to you to express my desire to be apart of the Wholesale Power and Gas Trading operation that will potentially be created with an entity that has a high credit rating.
I have been working for Rogers Herndon in Enron Wholesale Services on the Options Desk.
In this role I have modeled the power options that are embedded in the various deals done through Enron Energy Services with large industrial and commercial clients.
In addition, I profitably managed the positions and priced deals for structurers and originators.
I realize that now is a difficult time but am confident that I would make an excellent addition to your team for several key reasons:   ?
Proven experience in the financial markets and direct trading experience in various markets, including electricity and natural gas, mortgage backed securities, U.S. Treasury securities, foreign exchange, EuroCurrency and EuroDollar deposits ?
Team player and high work ethic, successfully balancing trading opportunities with managing risk ?
Solid portfolio management and risk management experience in electricity and mortgage banking  ?
Five years direct experience in trading, risk management, structured products and marketing of electricity for the United States ?
Actively involved in the physical markets and strong understanding of the western grid ?
Experience trading OTC forwards and options at major hubs in other NERC regions such as Cinergy, Entergy, ERCOT, NEPOOL and PJM ?
Worked for both unregulated power marketers and regulated utility ?
Extensive experience in derivatives and structured products ?
Ability to effectively work with marketers pricing and structuring deals for industrial and commercial end users of energy ?
Strength in mentoring junior traders   Thank you,
",Wholesale Power and Gas Trading operation with new entity
"Harry,  I spoke with Greg Manako with Exelon last week when you were on vacation.
He had the following comments regarding the HR options you were hearing about in the market place:  	1.
They are not sure of their long term perspective.
Thus, they are focusing on structures that are three years and less.
2.
They are interested in June-September only 	 	3.
They are flexible on the size of the transaction (100-500 MW?)
4.
They want to buy a 10-11 HR and sell a 6-7 HR.
5.
They would like a financially settled transaction.
6.
They would love hourly (virtual peaker) but would settle for daily.
Please let me know your level of interest.
I would like to get something back to them just to start discussions.
In addition,  I am ready to give MidAmerican Energy some indicative numbers whenever you get them.
Thanks,
",Comed Heat Rate Options
"Harry:   Do you think you'll have a chance to work on the various offers today (i.e.
Dominion, TVA & ConEd)?
If not, could you give me an idea of when this week you think you'll have some time.
Thanks, Greg
",Various Offers
"Hi Harry,     The Chemist in Delhi (Kuber Chemist ) has requested for the phone number for New Jersey address.
I presume that is required by the courier service in India.
He also mentions that the medicines will take about a week to arrive from the date of departure.
Regards,
",Chemist Request in Delhi
"We are ready to start using Swaption Volatility Curves in our calcs  I have identified the following regions and terms that need swaption volatilities posted and the values I have currently entered into curve manager.
These values were based on the latest deals or my best guess, as not all the volatilities are consistent across similar deals:  Cinergy, Cal '02, .25 Entergy, Cal '02, .27 Ercot South, Cal '02, .25 Nepool, Cal '02, .3 Nepool, Cal '02, .24 West Hub, Cal '02, .24 West Hub, Cal '03, .28 NY East (zone G), Cal'02-'03, .16 (position in LT-NEMGMT book)  Options Desk: for today only, besides final posting swaption vols for today 11/15 please also final post yesterday 11/14.
Please call if you have any questions.
Michael Mattox x34317
",Swaption Vols
"The next options session will be held on Monday, Dec. 3 1:00-2:00 in ECS 05990.
The topic will be ""Options Session 2: Spread Options"", covering crack, heat and spark spreads and will include case studies.
Dave
",Next Options Session & Notes
"Harry, we are working on a data project and I have a question for you.
Could you give me a call when you get back from Vacation?-Regards!
Kim
",follow up on important issue
"Subject:        	TYZ/TYH ROLL SHOULD NARROW/Roll longs now  Date sent:      	Mon, 26 Nov 2001 15:24:12 +0000    Recommendation: Roll long TYZs now at 39/32 or roll short TYZ later in week 2 to 3/32 lower.
Rationale: The TYZ/TYH roll will be impacted by a number of factors.
Most important, we believe, will be changes in the contract's cheapest-to-deliver caused by market movements.
Changes in CTD will change the amount of net positive carry that is the primary determinant of the TYZ/TYH roll's value.
For example, The TYZ/TYH roll priced using the 6.5% 2/10 has 35.75/32 of net carry, while the roll priced with the 4.7% 11/08 has only 28.5/32 of net carry.
|------------+--------+--------+--------|
",fyi:  TYZ/TYH ROLL SHOULD NARROW/Roll longs now
"*****************************************************************  As a registered Multex Investor member, we will occasionally  contact you with special opportunities provided by our partners.
To unsubscribe to this or any other exclusive offers, please see  the bottom of this message.
*****************************************************************
",Compelling small cap investment opportunity
"The Fourth Quarter and Year 2001 Performance: The model portfolio has  gained 12.78% during the fourth quarter versus a 10.42% gain for the  S&P500.
While the market has not delivered positive returns for the year,  we are happy to point out that the Industry Selector is in positive  territory as the year comes to an end.
The year to date gain of 1.12% is  leading the benchmark by 1407 basis points.
Looking forward to the first quarter of 2002, our Industry Selector favors:  Aerospace/Defense, Auto Parts & Equipment, Communication-Equip/Mfrs.,  Distributors, Electronics (Semiconductors), Electric Companies, Electrical  Equipment, Equipment (Semiconductors), Financial (Diversified), Foods,  Footwear, Health Care (Drugs), Insurance Brokers, Insurance (Life/Health),  Publishing (Newspapers), Retail Stores (Dept.
), Retail Stores (Drug).
(full  article attached)  LJE    www.lajollaeconomics.com
",The Industry Selector*
"Suresh  For the next two weeks, I'd like you to focus on the following.
1.
Development frame-work and getting Zach upto speed  Specs for Syndication report & testing & production date  Finalize questionnaire and production date  Modifications to Invitee and User stats 2.
EnronOnline auctions - structure, and hash out details to enable kick off 3.
Legal frame-work , shorten contracts for both deal-rooms and auctions 4.
Marketing materials for procurement - and leasing, mail to top 100 list.
5.Complete transfer of operations to Networks group (Sherri Thomas's group) 6.
Budget changes 7.
Finalize hiring needs for Q1 and Q2 8.
Focus each of the marketing leads on revenue, client lists, outreach,  marketing and sales strategy  Ross - procurement  Don - Banks  Toby - Data rooms  Miguel - leases, legal and other data rooms 9.
Dataroom development frame-work   Harry
",Tasks
"Attached is an announcement about The Periwinkle Foundation Board Retreat.
We will have dinner and the first meeting Friday, June 7, 2002 at 6:30 p.m. at The Houstonian Hotel.
The Houstonian is at 111 N. Post Oak Lane, 77024.
We will have the second meeting Saturday, June 8, 2002 from 9 a.m. to 3:30 p.m. at the Ronald McDonald House.
The Ronald McDonald House is at 1907 Holcombe Blvd, 77030.
Your attendance is very, very important as we will be planning our road map for the next several years.
Please reply to this email and let us know if you will attend one or both meetings.
Thank you for all you do!
Kelley
",Board Retreat
"Hi.
This is the qmail-send program at shutterfly.com.
I'm afraid I wasn't able to deliver your message to the following addresses.
This is a permanent error; I've given up.
Sorry it didn't work out.
<lwbthmarine@alltel.net>: 166.102.165.23 does not like recipient.
Remote host said: 550 Invalid recipient: <lwbthmarine@alltel.net> Giving up on 166.102.165.23.
",failure notice
"Since Mr. Bass didn't follow through on our social engagement, I thought I would do so.
Is anyone interested in lunch?
Is tomorrow too early for you all or should we shoot for next week?
Mr.
Hull and I are both available tomorrow.
You guys let me know.
We'll have to go dutch (no more expense report) or one of you UBS people with your big bonuses will have to pick it up!
Let me know.
",Lunch
"UBS have organized an important meeting  will be held tomorrow for all employees who :   1) have accepted offers or  2) intend to accept offers ( to the best of their knowledge) but who have issues that are being resolved  All employees in these categories should attend  Buses will be provided for those who do not have their own transport and will pick up from the south side of the north building - please assemble in the Java plaza area from 8.30am  to 9.30am ( last bus leaves  @ 9.30 am )  The meeting will last until approximately 1pm  and will be presented by senior managers from UBS on the firm and it's strategy.
There will be breakfast available at the Hotel from 9am to 10am and there will be sandwiches afterwards.
If traveling independently please make sure you leave sufficient time to park (it will be very busy) and get to the Grand ballroom  Employees need to bring their id's or drivers license with them to gain access to the meeting  I'm sorry for the short notice on this - please call out to anyone who should be attending who will not get this message in time    Tammie Schoppe  on behalf of UBS HR
",URGENT REQUIRES IMMEDIATE ACTION : Welcome to UBS meeting tomorrow  10.15 am @ the Houstonian
"We know you have questions about recent events impacting Enron and our plans for the future.
Ongoing investigations and pending litigation have made it difficult, if not impossible, to share information in a timely manner.
While we can't address certain issues, we can tell you about our initial plans to move Enron forward and emerge from bankruptcy, and we are eager to do that.
We had planned to hold an all-employee meeting tomorrow, January 23, at the Hyatt Regency.
However, we don't want to subject you to the media frenzy that would certainly surround such a meeting, so we've decided to postpone it.
We are currently making arrangements to hold a series of employee meetings within the building to protect your privacy.
We will provide the date and times to you as soon as the logistics for those meetings are finalized.
Prior to the employee meetings, we will provide an overview of Enron's new organizational structure.
You can expect that memo shortly.
",Employee Meeting Postponed
"You have received this message because someone has attempted to send you an e-mail from outside of Enron with an attachment type that Enron does not allow into our messaging environment.
Your e-mail has been quarantined and is being held at the MailSweeper server.
Sender:  lwbthemarine@alltel.net
",An Inbound Message For You Has Been Quarantined
"You have received this message because someone has attempted to send you an e-mail from outside of Enron with an attachment type that Enron does not allow into our messaging environment.
Your e-mail has been quarantined and is being held at the MailSweeper server.
Sender:  lwbthemarine@alltel.net
",An Inbound Message For You Has Been Quarantined
"LAST CALL for signing up for Fundamentals of Electricity.
As a result of several calls,   we have extended the registration deadline  until this  Wednesday, January 23rd, 2002.
To register for this informative class, fill out the registration form and fax it to (713) 856-6199  to my attention by this Wednesday!
Thanks, 	Lana Moore 	NESA  <<521_Electricity.pdf>>
",Fundamentals of Electricity - Extended registration deadline
"See dear, sometimes you get what you ask for.
Love you-L            A bum, who obviously has seen more than his share of hard times, approaches a well dressed gentleman on the street.
""Hey, Buddy, can you spare two dollars?""
The well-dressed gentleman responds, ""You are not going to spend in on liquor are you?""
""No, sir, I don't drink,"" retorts the bum.
""You are not going to throw it away in some crap game, are  you?""
asks the gentleman.
""No way, I don't gamble,"" answers the bum.
""You wouldn't waste the money at a golf course for greens fees, would you?""
asks the man.
""Never,"" says the bum, ""I don't play golf.""
The man asks the bum if he would like to come home with him for a home cooked meal.
The bum accepts eagerly.
While they are heading for the man's house, the bum's curiosity gets the better of him.
""Isn't your wife going to be angry when she sees a guy like me at your table?""
""Probably,"" says the man, ""but it will be worth it.
I want  her to see what happens to a guy who doesn't drink, gamble  or play golf.""
",Hey can I bum a Golf Ball
"Hi Eric,   It looks like Enron employees have an enterprising spirit according to the H. Chronicle.
Ebay is saturated with Enron goodies.
This is quite amusing.
Sorry about tonight and we will miss you on your birthday.
We will celebrate whenever you wish, just let us know.
If you change your mind about tomorrow, email me.
Donnita and Jason are coming over for dinner.
We would love for you to come.
Have a wonderful day.
LU-M
",Good Morning
"A simple friend has never seen you cry.
A real friend has shoulders soggy from your tears.
A simple friend doesn't know your parents' first names.
A real friend has their phone numbers in his address book.
A simple friend brings a bottle of wine to your party.
A real friend comes early to help you cook and stays late to help you clean.
A simple friend hates it when you call after he has gone to bed.
A real friend asks you why you took so long to call.
A simple friend seeks to talk with you about your problems.
A real friend seeks to help you with your problems.
A simple friend wonders about your romantic history.
A real friend could blackmail you with it.
A simple friend, when visiting, acts like a guest.
A real friend opens your refrigerator and helps himself.
A simple friend thinks the friendship is over when you HAVE an argument.
A real friend knows that it's not a friendship until after you've had a fight.
A simple friend expects you to always be there for them.
A real friend expects to always be there for you!
",A friend
"Hi Eric,   Sorry but Dad can't make it Thursday night.
Would dinner here on Friday be o.k.
with you?
Dad suggested games, etc., and I wanted to bake a birthday cake.
We can either order in or I would love to cook anything you would like.
It's up to you.
Let me know.
Have a great day.
Love, Mom
",Birthday
"Hi Eric,  I know this weekend will be a busy one for you but I just wanted to wish you an early Happy Birthday.
Hope all is well with you and Shanna.
I hope to see you in a few months.
Love   Aunt Bonnie
",Happy Birthday
"Attached is the path to the honeymoon package we chose.
Let me know if you need anything else.
Thanks again for doing this...it means a great deal to us both.
Jason
",Honeymoon Itinerary
"Though many of you already know, today is my last day here at Enron.
I am leaving to pursue my culinary interests full time and have accepted a baking/pastry apprenticeship with the Deer Valley Resort in Park City, Utah for the winter season.
I am happy to have spent the past 3 years working with such a fun and intelligent group of people.
I sincerely wish all of you the best in your future endeavors.
Please don't hesitate to look me up if you are in the Park City area, vacation planning, or considering some radical career change like this...ha.
It would be great to see old friends up there.
Forwarding info is below:
",Park City Bound
"Eric - it was good to see you again after all this time.
Sounds like you are well on your way to making things happen for yourself.
Anyway - I am definitely new in this town as far as I am concerned.
So - I don't want to burden you with spending any time with my sorry ass - but to the extent that you want to grab your girlfriend and a friend of hers - I would always be willing to venture out.
I definitely need to meet some new people.
In any event, I'm sure that we will run into each other plenty at the gym, etc.
Talk to you soon Eric.
",venture
"Hello Eric,  It was great to speak with you this afternoon.
Thank you for taking my phone call.
As mentioned, Intercontinental Staffing Group is primarily focused on serving the energy trading industry, bringing together top energy trading talent with the worlds leading energy trading companies.
Our search consultants have past experience in either trading or brokering energy commodities.
This gives us a distinct advantage with respect to our knowledge of and exposure to the energy trading industry.
We are currently working on filling several trading and marketing/origination positions throughout the US.
If you know of someone who is looking for a new career opportunity, please contact me at the phone number listed below or feel free to email me at possibilities@istaffinggroup.com.
Also, please refer to our website - www.istaffinggroup.com - for a complete listing of the open positions.
We do offer a referral fee if we are successful in placing one of your recommendations.
Any information provided will be completely confidential.
Thank you for your time.
I look forward to speaking with you.
",ISG
"Hi Eric,  Would you and Shanna please do me a huge favor on the way over on Saturday?
Please stop at Kroger or Randall's and buy 5 or 6 balloons for Dad's birthday.
I sure would appreciate that and I am sure he will too.
LU-M
",Dad's Birthday
"Hey, I missed your wonderful response on Monday.
Tim filled me in.
I was on a plane to Notre Dame on Monday when I heard the wonderful news of my termination.
Oh well, life's a bitch!
No bets for the LSU game, but I feel that LSU should give the Vols.
a run for their money.
Texas finally wised up and gave Major the start...Mack must need to win this bowl game?
Oh well, have fun at work.
I have to go back to sleep.
",Commentary
"Subject: Bumper Sticker            As seen on a bumper sticker:     IT'S GOD'S RESPONSIBILITY TO FORGIVE BIN LADEN.
IT'S OUR RESPONSIBILITY TO ARRANGE THE MEETING.
* United States Marine Corps *
",Bumper Sticker
"Dear eBill Customer:  We're upgrading our eBill program to help serve you better.
Your eBill account will be available to view on our new Web site - www.reliant.com/myaccount - beginning with your February bill.
We've changed our bill to make it easier for our customers to understand.
To introduce you to our new bill format, you will receive a paper copy of your February bill, in addition to receiving it online.
You can continue to pay your eBill as you normally would by logging on to our new Web site, www.reliant.com/myaccount.
There is no need for you to respond to the paper bill, or to take any other action except to make a note of your new Reliant Energy Residential Services account number for your records.
If you pay your eBill using an online bill payment service, such as one offered by your bank, Yahoo, or Quicken Direct Pay, you will need to update your account number information with them to ensure correct processing of your online payment.
You will be able to continue to view your eBill information for January 2002 and prior months by logging on to ebill.reliantenergy.com/logon  We thank you for your continued use of Reliant Energy eBill.
If you have any questions, please contact us toll free at 1-866-222-7100.
Sincerely,
",Reliant Energy eBill Update
"Eric:  I trust everything is going well as Enron.
I am actively pursuing a job out here at Mcdonalds.
""Would you like fries with that""...I practice on a regular basis.
In any case, I would like to pick up the Patriots Defense and the Steelers Defense as free agent pick ups, if still possible.
I would like to drop Engram and the Titans defense.
Please let me know.
Thanks
",Free agents
"Eric,  Your W-2 is correct.
Did you add in your imputed income and subtract the pre-tax?
Gross, less pre-tax, plus imputed = Box 1 taxable income.
Please call if you still have questions.
Valley 57925
",W-2
"I wanted to try to set a day where we can all get fitted for our Tuxedos for the wedding.
I would like to get it done sometime in the very near future.
It should not take mor than a couple of hours.
Would you all be available Saturday December 29?
Please let me know if this date does not work.
Jason
",Tuxedos for the wedding
"""I bring you good news of great joy that will be for all the people.
Today in the town of David a Savior has been born to you; he is Christ the Lord.""
Luke 2:10, 11  Dear Americans,  As we prepare to celebrate the birthday of Jesus Christ, let me take this opportunity to wish you a joyous Christmas celebration and peace in the New Year.
May the true meaning of Christmas, God's gift of His own son as our savior, be yours in this holiday season and throughout the New Year.
May God continue to bless our nation and its leaders, especially President George Bush, as we confront an enemy who hates everything this nation stands for -- peace,
",A Christmas message from Bruce Eberle
"Dear Eric,  If you have last minute shopping to do, Omaha Steaks can still get  your gift there in time for Christmas!
But hurry, you must order by  9 a.m. (CST) Saturday, December 22nd and select Overnight Delivery to  ensure your package arrives before Christmas Day!
Since you'll need to select Overnight Shipping to ensure Christmas  Delivery, we are also taking an additional $24.00 discount off the  price of each of these e-mail specials!
If you don't need it there by  December 24th, you'll still save the extra $24.00!
Simply select your  shipping service when completing your order.
",We can still get it there!
"Thank you is nice.
But cash is even better.
Happy Holidays from SBC!
We wanted to do more than just say thanks to our customers who view
",Thank you is nice. But cash is even better.
"Hi Folks,  Here's the lates from our friend Bob Harris of the www.tflreport.com on Washington RB Stephen Davis.
Joe  /////////////////////////////////////   SKINS WILL ASK DAVIS TO PULL THE LOAD AGAINST CHICAGO... Posted Friday December 21, 2001 @ 03:55 PT   Washington running back Stephen Davis has been remarkably durable this season.
He heads into his 14th game of the season and hasn't missed a game so far, the first time in the past two seasons he has been able to do that.
However, Davis -- listed as questionable this week with a bruised knee -- is
",[Footballguys] Update - Bob Harris on Stephen Davis
"You have received this message because someone has attempted to send you an e-mail from outside of Enron with an attachment type that Enron does not allow into our messaging environment.
Your e-mail has been quarantined and is being held at the MailSweeper server.
Sender:  lwbthemarine@alltel.net
",An Inbound Message For You Has Been Quarantined
"This is a notice to inform you that the server where your Outlook mailbox resides is scheduled for an outage tonight.
Your mailbox will be temporarily unavailable starting anytime after 11pm and may continue to be unavailable until 1 a.m., when all server maintenance work have been completed.
Outlook Web Access (OWA) will also be unavailable during this time.
Blackberry users:  Message delivery may be delayed for a few minutes.
If you have any questions, please call the Resolution Center at x31411.
","CORRECTION:  Outlook Outage - Friday, December 28, 2001"
"This Beautiful Mother & Baby Turtle Crystal Set will be yours for a mere $4.95!
Turtles Going Home.
This mother and baby tutle set inspires the most enchanting atmosphere.
This crystal contains 24% to 30% lead with strict quality control.
They were specifically ordered by oversea distributors which in turn resale to department stores.
Due to the Economic downturn, the distributor went bankrupt, which also brought down the manufacturer.
We were able to pick up the inventory at pennies on a dollar, on the whole sale level.
We just pass the saving to you.
That's why you're seeing rediculus prices here.
Similar item like this sell for more than $95 in retail store, but it will be yours for $4.95 .
To qualify for this invitation, please fill out the following questions.
Your responses will in no way go into your personal profile.
We are interested in statistical data only.
Questions	 Response	 Do you own or use any kind of PDA(Personal Digital Assistant)?
yes  no  	 Do you own or use a digital camera or camcorder?
yes  no  	 Do you own or use a Sony game console such as PS1,PS2 or Gameboy?
yes  no  	 Do you own or use a MP3 player?
yes  no  	 Do you own or use a DVD player?
yes  no  	 Group Profile:	  Area Code 	 Gender: Male  Female 	 Age Group select below 18 and below 19-30 31-45 46-60 60+ 	 Income select below less than 20k 20-30k 30-40k 40-60k 60-80k 80-100k 100k+ 	  After you selected your choices, don't forget to
",Let's Go For A Ride!!!
"Dear Americans,  When I send out a breaking news update from MillionsofAmericans.com many people write back to me thanking me for the information and asking me about my sources.
Like Rush Limbaugh, many times, I refer to the  Washington Times often.
I find The Washington Times National Weekly Edition  to be well written and right on top of the issues.
In fact, The Times has repeatedly scooped all other news sources on major national issues like the Clinton  scandals.
Perhaps more important, The Washington  Times National Weekly Edition  reports stories the  liberal news media intentionally ignores because it does not fit their version of the news.
If you want to stay truly informed and get the facts about what's really happening in the world, I strongly suggest that you read The Washington Times National Weekly Edition.
I could not do without The Times to combat the liberalism of the Washington Post.
Now there's a way that you too can have what I do -- by reading the Washington Times National Weekly
",The Washington Times National Weekly Edition
"Jason C. Bass was unable to find a Wish List for you at Amazon.com and asked us to send you e-mail, requesting that you create one.
Now--we don't presume to tell you what to do.
But if someone wanted to
",Jason C. Bass wants you to create an Amazon.com Wish List
"Gentlemen and ladies,  Check it out, OSU beat OU (NO ONE thought THAT was possible) we are going to  the Big 12 Championship game VS. Colorado.
Damn we're smooth.
Hook'em Horns.
Brett.
AUSTIN -- Texas coach Mack Brown was channel surfing through college
",Yeah Orange....
