id,tokens,ner_tags
78,"['Bekom' ""'n"" 'aansoekvorm' 'deur' ""'n"" 'versoek' 'aan' 'Mariene-' 'en'
 'Kusbestuur' 'se' 'bestuurskantoor' 'te' 'rig' '(' 'die'
 'kontakbesonderhede' 'verskyn' 'onder' ')' ',' 'of' 'kry' ""'n"" 'vorm'
 'by' 'die' 'Departement' 'van' 'Omgewingsake' 'en' 'Toerisme' 'se'
 'takkantoor' ',' 'of' 'laai' ""'n"" 'vorm' 'by'
 'http://www.mcm-deat.gov.za' 'af' '.']","[0 0 0 0 0 0 0 3 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 4 4 0 0 0 0 0
 0 0 0 0 0 0]"
79,"['gewaarmerkte' 'kopieë' 'van' 'geldige' 'invoerpermitte' 'van' 'die'
 'Departement' 'van' 'Handel' 'en' 'Nywerheid' 'of'
 'permitbekendstellings']",[0 0 0 0 0 0 0 3 4 4 4 4 0 0]
80,"['gewaarmerkte' 'kopieë' 'van' 'die' 'oorspronklike'
 'belastingklaringsertifikate' 'wat' 'deur' 'die' 'Suid-Afrikaanse'
 'Inkomstediens' 'goedgekeur' 'en' 'uitgereik' 'is' '.']",[0 0 0 0 0 0 0 0 0 3 4 0 0 0 0 0]
81,"['As' 'die' 'vis' 'wat' 'jy' 'gaan' 'invoer' 'nie' 'vars' 'is' 'nie' 'en'
 'nie' 'vir' 'menslike' 'gebruik' 'bedoel' 'is' 'nie' ',' 'moet' 'jy'
 'jou' 'naaste' 'tak' 'van' 'die' 'Suid-Afrikaanse' 'Buro' 'vir'
 'Standaarde' 'daarvan' 'in' 'kennis' 'stel' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 4 0 0 0 0 0]
82,"['Vul' 'jou' 'aansoekvorm' 'in' ',' 'onderteken' 'dit' 'en' 'pos' 'dit'
 'saam' 'met' 'die' 'nodige' 'ondersteunende' 'dokumente' 'aan' 'Mariene-'
 'en' 'Kustebestuur' 'se' 'bestuurskantoor' '(' 'die' 'adres' 'verskyn'
 'onderaan' ')' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 0 0 0 0 0 0 0 0 0]
83,"['Kry' 'meer' 'inligting' 'by' 'die' 'Departement' 'van' 'Justisie' 'en'
 'Grondwetlike' 'Ontwikkeling' '.']",[0 0 0 0 0 3 4 4 4 4 4 0]
84,"['Tree' 'met' 'die' 'Companies' 'and' 'Intellectual' 'Property'
 'Registration' 'Office' 'in' 'verbinding' '.']",[0 0 0 3 4 4 4 4 4 0 0 0]
85,"['Doen' 'aansoek' 'om' ""'n"" 'naam' 'te' 'reserveer' 'deur' 'vorm' 'CM5'
 'voor' 'te' 'lê' '-' 'Aansoek' 'om' 'die' 'reservering' 'van' ""'n"" 'naam'
 '.']",[0 0 0 0 0 0 0 0 7 8 0 0 0 0 0 0 0 0 0 0 0 0]
86,"['Vul' 'vorm' 'CM29' 'in' '-' 'Inhoud' 'van' 'register' 'van' 'direkteure'
 ',' 'ouditeure' 'en' 'amptenare' '.']",[0 7 8 0 0 0 0 0 0 0 0 0 0 0 0]
87,"['Elke' 'direkteur' 'van' 'die' 'maatskappy' 'moet' 'een' 'kopie' 'van'
 'vorm' 'CM47' 'invul' '.']",[0 0 0 0 0 0 0 0 0 7 8 0 0]
88,"['Vul' 'vorm' 'CM31' 'in' 'om' 'toestemming' 'te' 'gee' 'dat' ""'n""
 'persoon' 'as' 'ouditeur' 'mag' 'optree' '.']",[0 7 8 0 0 0 0 0 0 0 0 0 0 0 0 0]
89,"['Dit' 'is' 'die' 'dokument' 'wat' 'deur' 'die' 'Registrateur' 'van'
 'Maatskappye' 'onderteken' 'en' 'gestempel' 'word' 'sodra' 'al' 'die'
 'meegaande' 'dokumente' '(' 'wat' 'hierbo' 'gelys' 'is' ')' 'nagegaan'
 'en' 'gefinaliseer' 'is' '.']",[0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
90,"['Akte' 'van' 'oprigting' 'plus' 'CM2A' ',' 'CM2B' 'en' 'CM2C' 'indien'
 'daar' 'meer' 'as' 'een' 'aandeelhouer' 'is' ',' 'of' 'CM2D' 'indien'
 'daar' 'net' 'een' 'aandeelhouer' 'is' '.']",[0 0 0 0 7 0 7 0 7 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0]
91,"['Indien' 'jy' 'voor' '15' 'November' '2000' 'ingevolge' 'die'
 'gewoontereg' 'getroud' 'is' ',' 'moet' 'jy' 'jou' 'huwelik' 'by' 'die'
 'Departement' 'van' 'Binnelandse' 'Sake' 'registreer' '.']",[0 0 0 7 8 8 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 4 0 0]
92,"['Huwelike' 'volgens' 'die' 'Gewoontereg' 'en' 'Gemeenskap' 'van'
 'Goedere' '?']",[0 0 0 0 0 0 0 0 0]
93,"['Indien' 'hulle' 'dit' 'wil' 'verander' 'nadat' 'hulle' 'reeds' 'getroud'
 'is' ',' 'moet' 'hulle' 'by' 'die' 'Hoërhof' 'aansoek' 'doen' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
94,"['Ingevolge' 'die' 'Wet' 'op' 'Erkenning' 'van' 'Gebruiklike' 'Huwelike'
 ',' '1998' 'geniet' 'die' 'vrou' 'dieselfde' 'regte' 'en' 'status' 'as'
 'die' 'man' 'om' 'te' 'besluit' 'oor' 'wat' 'met' 'die' 'eiendom'
 'gebeur' '.']",[0 0 7 8 8 8 8 8 8 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
95,"[""'n"" 'aangewese' 'persoon' 'wat' 'deur' 'die' 'Direkteur-Generaal'
 'aangewys' 'is' 'om' 'funksies' 'ooreenkomstig' 'hierdie' 'regulasies'
 'uit' 'te' 'voer' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
96,"[""'n"" 'Buitelandse' 'visvaartuig' 'is' ""'n"" 'vaartuig' 'wat' 'deur' ""'n""
 'nie-Suid-Afrikaanse' 'burger' ',' 'dit' 'wil' 'sê' ""'n"" 'buitelander'
 ',' 'besit' 'word' 'en' 'onder' ""'n"" 'ander' 'vlagstaat' 'as' 'die'
 'Republiek' 'van' 'Suid-Afrika' '(' 'RSA' ')' 'geregistreer' 'is' '.']",[0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 6 0 5 0 0 0 0]
97,"['Voor' 'jy' 'by' 'visvangs' 'betrokke' 'raak' ',' 'moet' 'jy' 'met' 'die'
 'Departement' 'van' 'Omgewingsake' 'en' 'Toerisme' 'in' 'verbinding' 'om'
 'vas' 'te' 'stel' 'of' 'die' 'huur' 'van' ""'n"" 'buitelandse' 'vaartuig'
 'in' ""'n"" 'spesifieke' 'visvangsektor' 'toegelaat' 'sal' 'word' 'en' 'om'
 'uit' 'te' 'vind' 'watter' 'dokumente' 'nodig' 'is' 'om' 'goedkeuring'
 'vir' 'so' ""'n"" 'aansoek' 'te' 'verkry' '.']","[0 0 0 0 0 0 0 0 0 0 0 3 4 4 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
98,"['Sodra' 'daar' 'in' 'beginsel' 'steun' 'vir' 'die' 'gebruik' 'van' ""'n""
 'buitelandse' 'vaartuig' 'verleen' 'is' ',' 'moet' 'jy' ""'n""
 'aansoekvorm' 'vir' ""'n"" 'lisensie' 'vir' ""'n"" 'buitelandse'
 'visvaartuig' 'by' 'jou' 'naaste' 'kantoor' 'van' 'die' 'Departement'
 'van' 'Omgewingsake' 'en' 'Toerisme' '(' 'DEA&T-kantoor' ')' 'Department'
 'of' 'Environmental' 'Affairs' 'and' 'Tourism' 'kry' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 4 4
 0 7 0 3 4 4 4 4 4 0 0]"
99,"['Vul' 'die' 'aansoekvorm' 'in' 'en' 'dien' 'dit' 'saam' 'met' 'die'
 'ondergenoemde' 'inligting' 'by' 'jou' 'naaste' 'DEA&T-kantoor' 'in' ':']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0]
