id,tokens,labels
TR-67,"['For' 'multimodal' 'classification' ',' 'we' 'included' 'a' 'simple'
 'implementation' 'of' 'Multiple' 'Kernel' 'Learning' '(' 'MKL' ')' 'for'
 'the' 'case' 'of' 'two' 'modalities' '.']",[4 4 4 4 4 4 4 4 4 4 0 2 2 4 1 4 4 4 4 4 4 4 4]
TR-68,"['The' 'Minimum' 'Uncertainty' 'Error' '(' 'MUE' ')' 'at' 'IOU' 'is'
 'used' 'to' 'determine' 'the' 'ability' 'of' 'the' 'detector' ""'s""
 'estimated' 'uncertainty' 'to' 'discriminate' 'true' 'positives' 'from'
 'false' 'positives' '.']",[4 0 2 2 4 1 4 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-69,"['Reinforcement' 'learning' 'metrics' 'reported' 'are' 'the' 'average'
 'returned' 'rewards' 'over' '5' 'policies' ',' 'independently' 'trained'
 'using' 'the' 'same' 'RL' 'algorithm' 'with' 'a' 'different' 'seed' '.']",[0 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1 4 4 4 4 4 4]
TR-70,"['TABL' 'is' 'similar' 'to' 'the' 'InBlock' 'proposal' 'in' 'the' 'sense'
 'that' 'they' 'both' 'propose' 'a' 'fee' 'based' 'mechanism' 'to'
 'acquire' 'IP' 'address' 'allocations' 'and' 'in' 'the' 'analysis' 'of'
 'how' 'the' 'resulting' 'mechanism' 'would' 'work' '.']",[1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-71,"['The' 'cost' 'function' 'they' 'optimized' 'comprised' 'a' 'Negative'
 'Log' 'Likelihood' '(' 'NLL' ')' 'term' 'and' 'an' 'End' 'Point' 'Error'
 '(' 'EPE' ')' 'term' '.']",[4 4 4 4 4 4 4 0 2 2 4 1 4 4 4 4 0 2 2 4 1 4 4 4]
TR-72,"['In' 'the' 'last' 'decade' ',' 'the' 'IoT' '(' 'Internet' 'of' 'Things'
 ')' 'area' 'has' 'gained' 'a' 'lot' 'of' 'space' 'in' 'several'
 'industrial' 'branches' '.']",[4 4 4 4 4 4 1 4 0 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-73,"['In' 'the' 'PON' 'RC' 'network' 'considered' 'here' ',' 'hubs' 'are'
 'public' 'research' 'centres' ',' 'and' 'this' 'represents' 'a' 'strong'
 'point' 'for' 'the' 'relationships' 'of' 'the' 'involved' 'productive'
 'system' '.']",[4 4 1 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-74,"['She' 'is' 'currently' 'the' 'Professor' 'for' 'Signal' 'Processing' 'in'
 'Earth' 'Observation' '(' 'www.sipeo.bgu.tum.de' ')' 'at' 'Technical'
 'University' 'of' 'Munich' '(' 'TUM' ')' 'and' 'German' 'Aerospace'
 'Center' '(' 'DLR' ')' ';' 'the' 'head' 'of' 'the' 'department' 'of' 'EO'
 'Data' 'Science' 'at' 'DLR' ';' 'and' 'the' 'head' 'of' 'the' 'Helmholtz'
 'Young' 'Investigator' 'Group' '”' 'SiPEO' '”' 'at' 'DLR' 'and' 'TUM' '.']","[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 2 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]"
TR-75,"['This' 'is' 'computed' 'using' 'a' 'singing' 'voice' 'detection' '('
 'SVD' ')' 'system' 'based' 'on' 'deep' 'convolutional' 'neural' 'network'
 '(' 'ConvNet' ')' '.']",[4 4 4 4 4 0 2 2 4 1 4 4 4 4 4 0 2 2 4 1 4 4]
TR-76,"['MDS' 'codes' 'that' 'achieve' 'optimal' 'repair' 'bandwidth' 'and'
 'load' 'balancing' 'are' 'called' 'Minimum' 'Storage' 'Regenerating' '('
 'MSR' ')' 'codes' 'in' 'literature' '.']",[1 4 4 4 4 4 4 4 4 4 4 4 0 2 2 4 1 4 4 4 4 4]
TR-77,"['IFM' 'and' 'BFM' 'correspond' 'to' 'intermediate' 'and' 'bottleneck'
 'feature' 'maps' '.']",[1 4 1 4 4 4 4 0 2 2 4]
TR-78,"['To' 'decrease' 'pilot' 'overhead' ',' 'we' 'assume' 'pilot' 'reuse' '('
 'PR' ')' 'among' 'D2D' 'pairs' '.']",[4 4 4 4 4 4 4 0 2 4 1 4 4 4 4 4]
TR-79,"['We' 'show' 'that' 'stochastic' 'gradient' 'Markov' 'chain' 'Monte'
 'Carlo' '(' 'SG' '-' 'MCMC' ')' '-' 'a' 'class' 'of' 'scalable'
 'Bayesian' 'posterior' 'sampling' 'algorithms' 'proposed' 'recently' '-'
 'satisfies' 'strong' 'differential' 'privacy' 'with' 'carefully' 'chosen'
 'step' 'sizes' '.']",[4 4 4 0 2 2 2 2 2 4 1 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-80,"['Based' 'on' 'our' 'previous' 'work' 'on' 'spatial' 'resolution' '(' 'SR'
 ')' 'and' 'effective' 'bit' 'depth' '(' 'EBD' ')' 'adaptations' ',' 'and'
 'perceptual' 'quality' 'assessment' ',' 'a' 'new' 'video' 'compression'
 'framework' ',' 'ViSTRA2' ',' 'is' 'proposed' 'in' 'this' 'paper' '.']","[4 4 4 4 4 4 0 2 4 1 4 4 0 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1 4 4 4 4 4
 4 4]"
TR-81,"['Could' 'the' 'similar' 'outcomes' 'have' 'been' 'accomplished' 'with'
 'alternative' 'methods' 'such' 'as' 'Latent' 'Semantic' 'Analysis' '('
 'LSA' ';' ')' 'or' 'other' 'Natural' 'Language' 'Processing' '(' 'NLP'
 ')' 'methods' '?']",[4 4 4 4 4 4 4 4 4 4 4 4 0 2 2 4 1 4 4 4 4 0 2 2 4 1 4 4 4]
TR-82,"['Task' '-' 'oriented' 'dialog' 'systems' 'have' 'been' 'an' 'important'
 'branch' 'of' 'spoken' 'dialog' 'system' '(' 'SDS' ')' 'research'
 'raux2005let' ',' 'young2006using' ',' 'bohus2003ravenclaw' '.']",[4 4 4 4 4 4 4 4 4 4 4 0 2 2 4 1 4 4 4 4 4 4 4 4]
TR-83,"['AI' 'techniques' 'provide' 'similar' 'advantages' 'in' 'issues'
 'related' 'to' 'the' 'control' 'and' 'design' 'of' 'optical' 'networks'
 '.']",[1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-84,"['For' 'comparison' ',' 'we' 'also' 'tested' 'the' 'performance' 'of' 'a'
 'commercial' 'face' 'modelling' 'system' '(' 'CFM' ')' 'using' 'the'
 'same' 'workflow' '.']",[4 4 4 4 4 4 4 4 4 4 0 2 2 2 4 1 4 4 4 4 4 4]
TR-85,"['Exponential' '-' 'family' 'random' 'graph' 'models' '(' 'ERG' 'models'
 'or' 'ERGMs' ',' 'also' 'known' 'as' '""' 'p' '*' '""' 'models' ')' 'are'
 'probabilistic' 'network' 'models' 'that' 'are' 'parametrized' 'in'
 'terms' 'of' 'sufficient' 'statistics' 'based' 'on' 'structural' '('
 'i.e.' ',' 'graph' '-' 'theoretic' ')' 'properties' '.']","[0 2 2 2 2 2 4 1 4 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4]"
TR-86,"['This' 'operation' 'also' 'takes' 'into' 'consideration' 'the' 'frame'
 'type' 'and' 'the' 'packet' 'loss' 'rate' ',' 'as' 'well' 'as' 'the' 'AC'
 'queue' 'occupancy' 'to' 'avoid' 'congestion' '-' 'induced' 'packet'
 'losses' '.']",[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1 4 4 4 0 2 4 4 4 4 4]
TR-87,"['There' 'are' 'many' 'classification' 'models' 'that' 'have' 'been'
 'used' ',' 'with' 'support' 'vector' 'machine' '(' 'SVM' ')' 'being'
 'one' 'of' 'the' 'most' 'popular' 'choices' '.']",[4 4 4 4 4 4 4 4 4 4 4 0 2 2 4 1 4 4 4 4 4 4 4 4 4]
TR-88,"['The' 'resulting' 'model' 'from' 'training' 'will' 'be' 'used' 'to'
 'predict' 'electric' 'energy' 'consumption' 'for' 'future'
 'years(Predictions' 'for' '2012' 'and' '2013' 'were' 'compared' 'with'
 'actual' 'data' 'of' 'corresponding' 'years' 'in' 'Section' ')' ','
 'while' 'the' 'error' 'criteria' 'such' 'as' 'mean' 'squared' 'error' '('
 'MSE' ')' ',' 'root' 'mean' 'squared' 'error' '(' 'RMSE' ')' ',' 'mean'
 'absolute' 'error' '(' 'MAE' ')' 'and' 'mean' 'absolute' 'percentage'
 'error' '(' 'MAPE' ')' 'are' 'used' 'as' 'measures' 'to' 'justify' 'the'
 'appropriate' 'model' '.']","[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 0 2 2 4 1 4 4 0 2 2 2 4 1 4 4 0 2 2 4 1 4 4 0 2 2 2 4 1 4 4 4 4 4 4 4 4
 4 4 4]"
TR-89,"['Combining' 'SVM' 'with' 'extracted' 'FC1' 'and' 'FC2' 'features' 'can'
 'lead' 'to' '1' 'improvement' 'over' 'using' 'softmax' 'classifier' 'via'
 'DAP3D' '-' 'Net' 'but' 'cost' 'much' 'more' 'time' 'for' 'detection' ','
 'since' 'the' 'separated' 'pipeline' 'of' 'deep' 'feature' 'extraction'
 'and' 'SVM' 'is' 'more' 'time' '-' 'consuming' 'than' 'directly'
 'detecting' 'actions' 'via' 'DAP3D' '-' 'Net' 'with' 'softmax'
 'classifier' '(' 'i.e.' ',' 'average' '52.34s' 'in' 'total' 'for' 'a'
 '600-frame' 'video' ')' '.']","[4 1 4 4 1 4 1 4 4 4 4 4 4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 1 4 4 4 4 4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]"
TR-90,"['To' 'quantify' 'the' 'performance' 'of' 'speaker' 'ID' 'for' 'normal'
 'hearing' '(' 'NH' ')' 'subjects' 'versus' 'cochlear' 'implant' '(' 'CI'
 ')' 'subjects' ',' 'two' 'alternate' 'time' '-' 'frequency' 'acoustic'
 'front' '-' 'ends' 'were' 'considered' 'to' 'represent' 'NH' 'versus'
 'CI' 'based' 'human' 'SID' 'performance' '.']","[4 4 4 4 4 4 4 4 0 2 4 1 4 4 4 0 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1 4
 4 4 4 1 4 4]"
TR-91,"['Labelled' 'Transition' 'Systems' '(' 'LTS' ')' 'or' 'State' 'transition'
 'systems' 'are' 'finite' 'state' 'automata' ',' 'where' 'all' 'states'
 'are' 'final' 'states' ',' 'or' 'semiautomata' '.']",[0 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-92,"['The' 'authors' 'of' 'derived' 'a' 'closed' '-' 'form' 'expression' 'for'
 'the' 'null' 'space' 'of' 'the' 'steering' 'vector' 'along' 'the'
 'desired' 'direction' ',' 'and' 'a' 'robust' 'DM' 'synthesis' 'method'
 'based' 'on' 'conditional' 'minimum' 'mean' 'square' 'error' '(' 'MMSE'
 ')' 'criterion' 'was' 'proposed' 'to' 'minimize' 'the' 'distortion' 'of'
 'constellation' 'points' 'along' 'the' 'legitimated' 'users' '.']","[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1 4 4 4 4 4 0 2 2 2 4 1
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]"
TR-93,"['For' 'each' 'frame' ',' 'the' 'student' 'AI' 'system' 'decided'
 'whether' 'it' 'contains' 'an' 'image' 'of' 'pedestrian' '.']",[4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4]
TR-94,"['While' 'most' 'traditional' 'count' '-' 'based' 'vector' 'learning'
 'techniques' 'such' 'as' 'raw' 'count' 'vectors' 'or' 'Point' '-' 'wise'
 'Mutual' 'Information' '(' 'PPMI' ')' 'do' 'not' 'capture' 'second' '-'
 'order' 'co' '-' 'occurrence' 'information' ',' 'truncated' 'Singular'
 'Value' 'Decomposition' '(' 'SVD' ')' 'has' 'been' 'shown' 'to' 'do' 'so'
 '.']","[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 2 2 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 0 2
 2 4 1 4 4 4 4 4 4 4 4]"
TR-95,"['Speaking' 'of' 'time' 'or' 'sequence' 'modeling' 'in' 'NN' ','
 'everyone' 'would' 'come' 'up' 'with' 'Recurrent' 'Neural' 'Network' ','
 'typically' 'LSTMs' 'and' 'GRUs' '.']",[4 4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4 1 4 1 4]
TR-96,"['It' 'is' 'known' 'that' 'this' 'problem' 'is' 'NP' '-' 'complete' ','
 'therefore' 'researchers' 'have' 'proposed' 'an' 'Iterative' 'Hungarian'
 'Method' '(' 'IHM' ')' 'to' 'obtain' 'a' 'near' '-' 'optimal' 'solution'
 'for' 'this' 'problem' '.']",[4 4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 0 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4]
TR-97,"['However' ',' 'a' 'key' 'difference' 'between' 'WL' 'kernel' 'and' 'is'
 'that' 'the' 'hashing' 'step(label' 'compression' ')' 'of' 'WL' 'kernel'
 'do' 'not' 'necessarily' 'capture' 'the' 'local' 'similarities' ':'
 'even' 'two' 'nodes' 'with' 'very' 'similar' 'neighborhood' 'could' 'be'
 'mapped' 'to' 'totally' 'different' 'labels' ',' 'and' 'perturbing' 'the'
 'edges' 'by' 'a' 'small' 'amount' 'will' 'lead' 'to' 'completely'
 'different' 'hashing' 'features' '.']","[4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]"
TR-98,"['Among' 'RNNs' ',' 'Long' 'Short' '-' 'Term' 'Memory' '(' 'LSTM' ')'
 'architecture' ',' 'originally' 'proposed' 'by' 'Hochreiter' 'and'
 'Schmidhuber' ',' 'is' 'a' 'multi' '-' 'gated' 'Recurrent' 'Neural' 'Net'
 '(' 'RNN' ')' 'which' 'has' 'better' 'ability' 'of' 'exploiting' 'long'
 'range' 'contexts' 'and' 'can' 'be' 'made' 'deep' 'structured' '.']","[4 4 4 0 2 2 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 2 2 4 1 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4]"
TR-99,"['Farshin' ',' 'A.' ',' 'Sharifian' ',' 'S.' ':' 'A' 'chaotic' 'grey'
 'wolf' 'controller' 'allocator' 'for' 'Software' 'Defined' 'Mobile'
 'Network' '(' 'SDMN' ')' 'for' '5th' 'generation' 'of' 'cloud' '-'
 'based' 'cellular' 'systems' '(' '5' 'G' ')' ""'"" ',' 'Computer'
 'Communications' ',' '2017,108' ',' 'pp' '.']","[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 2 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4]"
